Code du département,Libellé du département,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs et nuls,% BlNuls/Ins,% BlNuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Sexe.0,Nom.0,Prénom.0,Voix.0,Parti.0,% Voix/Ins.0,% Voix/Exp.0,Sexe.1,Nom.1,Prénom.1,Parti.1,Voix.1,% Voix/Ins.1,% Voix/Exp.1
1,AIN,372951,53428,"14,33",319523,"85,67",13670,"3,67","4,28",305853,"82,01","95,72",M,SARKOZY,Nicolas,185174,UMP,"49,65","60,54",F,ROYAL,Ségolène,PS,120679,"32,36","39,46"
3,ALLIER,259503,38826,"14,96",220677,"85,04",10809,"4,17","4,90",209868,"80,87","95,10",M,SARKOZY,Nicolas,102426,UMP,"39,47","48,80",F,ROYAL,Ségolène,PS,107442,"41,40","51,20"
7,ARDECHE,235544,31610,"13,42",203934,"86,58",9399,"3,99","4,61",194535,"82,59","95,39",M,SARKOZY,Nicolas,100414,UMP,"42,63","51,62",F,ROYAL,Ségolène,PS,94121,"39,96","48,38"
15,CANTAL,123322,16704,"13,55",106618,"86,45",4429,"3,59","4,15",102189,"82,86","95,85",M,SARKOZY,Nicolas,56981,UMP,"46,21","55,76",F,ROYAL,Ségolène,PS,45208,"36,66","44,24"
26,DROME,338120,47344,"14,00",290776,"86,00",12910,"3,82","4,44",277866,"82,18","95,56",M,SARKOZY,Nicolas,152482,UMP,"45,10","54,88",F,ROYAL,Ségolène,PS,125384,"37,08","45,12"
38,ISERE,784163,113070,"14,42",671093,"85,58",27707,"3,53","4,13",643386,"82,05","95,87",M,SARKOZY,Nicolas,335314,UMP,"42,76","52,12",F,ROYAL,Ségolène,PS,308072,"39,29","47,88"
42,LOIRE,505913,79025,"15,62",426888,"84,38",19819,"3,92","4,64",407069,"80,46","95,36",M,SARKOZY,Nicolas,221648,UMP,"43,81","54,45",F,ROYAL,Ségolène,PS,185421,"36,65","45,55"
43,HAUTE LOIRE,173262,23377,"13,49",149885,"86,51",7714,"4,45","5,15",142171,"82,06","94,85",M,SARKOZY,Nicolas,77086,UMP,"44,49","54,22",F,ROYAL,Ségolène,PS,65085,"37,56","45,78"
63,PUY DE DOME,443310,58836,"13,27",384474,"86,73",17700,"3,99","4,60",366774,"82,74","95,40",M,SARKOZY,Nicolas,168859,UMP,"38,09","46,04",F,ROYAL,Ségolène,PS,197915,"44,64","53,96"
69,RHONE,1037922,153002,"14,74",884920,"85,26",34314,"3,31","3,88",850606,"81,95","96,12",M,SARKOZY,Nicolas,485628,UMP,"46,79","57,09",F,ROYAL,Ségolène,PS,364978,"35,16","42,91"
73,SAVOIE,288079,42885,"14,89",245194,"85,11",10903,"3,78","4,45",234291,"81,33","95,55",M,SARKOZY,Nicolas,134304,UMP,"46,62","57,32",F,ROYAL,Ségolène,PS,99987,"34,71","42,68"
74,HAUTE SAVOIE,472858,72615,"15,36",400243,"84,64",17195,"3,64","4,30",383048,"81,01","95,70",M,SARKOZY,Nicolas,241466,UMP,"51,07","63,04",F,ROYAL,Ségolène,PS,141582,"29,94","36,96"
