Code du département,Libellé du département,POPULATION_2021,POPULATION_2020,POPULATION_2019,POPULATION_2018,POPULATION_2015,POPULATION_2013
1,AIN,663202,657856,652432,647634,631877,619497
3,ALLIER,334872,335628,335975,337171,341613,343431
7,ARDECHE,331415,329325,328278,326606,324209,320379
15,CANTAL,144226,144379,144692,144765,146219,147035
26,DROME,519458,517709,516762,514732,504637,494712
38,ISERE,1284948,1277513,1271166,1263563,1251060,1235387
42,LOIRE,769029,768508,765634,763441,759411,756715
43,HAUTE LOIRE,227284,227489,227570,227552,227034,226203
63,PUY DE DOME,662285,661852,662152,659048,647501,640999
69,RHONE,1893692,1883437,1875747,1859524,1821995,1779845
73,SAVOIE,442468,439750,436434,433724,428204,423715
74,HAUTE SAVOIE,841482,835206,826094,816699,793938,769677
